audience_status,rating_G,rating_NC17,rating_NR,rating_PG,rating_PG-13,rating_R,runtime_in_minutes,tomatometer_count,audience_rating,audience_count,audience_top_critics_count,audience_fresh_critics_count,audience_rotten_critics_count
0,0,0,0,0,0,1,4.442651256490317,101,59.0,8628.0,35,51,50
0,0,0,0,0,0,1,4.532599493153256,82,51.0,7248.0,30,68,14
1,0,0,1,0,0,0,4.30406509320417,12,100.0,34.0,4,7,5
0,0,0,0,1,0,0,4.59511985013459,5,49.0,8219.0,0,0,5
0,0,0,0,0,0,1,4.68213122712422,55,29.0,10258.0,23,4,51
0,0,0,0,0,0,1,4.605170185988092,88,51.0,2771.0,35,52,36
1,0,0,1,0,0,0,4.499809670330265,63,78.0,5167.0,21,59,4
1,0,0,0,0,0,1,4.553876891600541,15,61.0,1743.0,6,8,7
0,0,0,0,0,0,1,4.7535901911063645,35,15.0,3697.0,7,6,29
1,0,0,0,0,0,1,4.624972813284271,8,62.0,6310.0,1,5,3
1,0,0,0,0,0,1,4.61512051684126,22,78.0,11704.0,4,8,14
0,0,0,0,1,0,0,4.532599493153256,19,29.0,7748.0,7,2,17
1,0,0,0,1,0,0,4.653960350157523,155,74.0,164705.0,39,119,36
1,0,0,1,0,0,0,4.499809670330265,14,86.0,9.0,6,14,0
0,0,0,0,1,0,0,4.653960350157523,167,47.0,508898.0,42,75,92
0,0,0,1,0,0,0,4.74493212836325,10,39.0,64.0,5,5,5
0,0,0,0,0,0,1,4.787491742782046,28,37.0,2649.0,11,19,9
1,0,0,0,0,0,1,5.0238805208462765,171,88.0,472948.0,41,130,41
1,0,0,0,0,1,0,4.867534450455582,30,62.0,8658.0,10,13,17
0,0,0,0,0,1,0,4.564348191467836,96,35.0,52066.0,28,23,73
0,0,0,0,1,0,0,4.465908118654584,27,35.0,432330.0,7,9,18
1,0,0,1,0,0,0,4.68213122712422,11,77.0,8578.0,0,6,5
0,0,0,0,0,0,1,4.61512051684126,162,39.0,80690.0,38,27,135
1,0,0,1,0,0,0,4.499809670330265,22,86.0,2613.0,4,22,0
1,0,0,0,0,1,0,4.553876891600541,204,74.0,261864.0,52,106,98
1,0,0,0,0,1,0,4.5217885770490405,46,60.0,288969.0,15,9,37
1,0,0,0,1,0,0,4.634728988229636,10,79.0,4412.0,4,6,4
0,0,0,0,0,0,1,4.406719247264253,98,35.0,603714.0,19,28,70
1,0,0,1,0,0,0,4.624972813284271,14,61.0,3782.0,3,10,4
0,0,0,0,0,0,1,4.68213122712422,34,50.0,3251.0,15,22,12
